symbol,bluechip_score,signal,confidence,close,rsi14,sma20,sma50,sma200,ema20,macd,macd_signal,bb_upper,bb_lower,volume_trend,bullish_engulfing,bearish_engulfing,hammer,shooting_star,doji,morning_star,evening_star,signal_strength,trend_strength,volume_momentum,pattern_confidence,trade_score,bluechip_score_bluechip,volatility,cagr,rank
SHIVM,0.5401,HOLD,0.5,632.0,63.661030309156516,613.305,609.182,578.6716,615.1747982702643,2.173726289185197,0.6282714195456899,627.349062240323,599.260937759677,1.4144141945560478,False,False,False,False,False,False,False,0.5,1.0,0.7072070972780239,0.0,0.6414414194556048,0.5400886774019054,0.29206402892068406,0.17340757020818942,3
MFIL,0.4645,HOLD,0.5,845.0,64.35340886278806,794.6600000000001,767.86,656.5273,797.7504092686534,11.841121820501598,9.239011048176254,836.433796873918,752.8862031260821,1.8440955508880448,False,False,False,False,False,False,False,0.5,1.0,0.9220477754440224,0.0,0.6844095550888045,0.4644771684644255,0.302758335047408,0.3693796215960541,13
EBL,0.4639,HOLD,0.5,679.0,66.19343102606997,668.875,662.76,665.1386,669.0977822819157,2.5281513715594883,1.937745248585547,676.3218997434805,661.4281002565195,0.8527571296846138,False,False,False,False,False,False,False,0.5,1.0,0.4263785648423069,0.0,0.5852757129684614,0.46386879717530227,0.19113830082435745,0.1144010047036792,14
SANIMA,0.4573,HOLD,0.5,341.0,62.28237396399127,331.53,328.42,329.60654999999997,332.97488387695273,1.603909621735454,1.0539652374603095,339.03048419489363,324.0295158051063,0.6632260789713066,False,False,False,False,False,False,False,0.5,1.0,0.3316130394856533,0.0,0.5663226078971306,0.4572916788247769,0.19825031413219957,0.11798664530699443,15
NTC,0.4568,HOLD,0.5,872.0,63.04963592230167,852.9,864.7139999999999,865.2733999999999,856.7597969805904,0.6432325365756242,-2.7332716292507295,869.5041212385677,836.2958787614323,0.9956187228209876,False,False,False,False,False,False,False,0.5,1.0,0.4978093614104938,0.0,0.5995618722820988,0.4568100328896262,0.14171174212818174,-0.04789758178233383,16
SCB,0.4561,HOLD,0.5,650.0,62.58121619760677,638.895,634.14,631.83715,640.7504365123526,3.532479801993645,2.425021832472525,650.7590500762,627.0309499238,0.42671104856593894,False,False,False,False,False,False,False,0.5,1.0,0.21335552428296947,0.0,0.5426711048565939,0.45611596690687595,0.15026576287231164,-0.009126946990353324,17
SBL,0.4531,HOLD,0.5,386.4,61.27994110704756,378.465,377.772,344.63375,378.7411596762441,-0.1176245542821448,-0.6490368894274641,389.78991896100575,367.1400810389942,0.9704485347153581,False,False,False,False,False,False,False,0.5,1.0,0.48522426735767904,0.0,0.5970448534715358,0.4531078043016588,0.22888882819781722,0.3803389122648504,18
CHDC,0.4501,HOLD,0.5,2534.9,63.113683401137955,2436.225,2352.496,2474.35505,2453.085648090749,45.49507889167944,37.47682841730494,2586.2400571390026,2286.209942860997,0.4058626749176757,False,False,False,False,False,False,False,0.5,1.0,0.20293133745883785,0.0,0.5405862674917675,0.450130649595744,0.33140330023408865,0.0942763106622253,19
