symbol,bluechip_score,signal,confidence,close,rsi14,sma20,sma50,sma200,ema20,macd,macd_signal,bb_upper,bb_lower,volume_trend,bullish_engulfing,bearish_engulfing,hammer,shooting_star,doji,morning_star,evening_star,signal_strength,trend_strength,volume_momentum,pattern_confidence,trade_score,bluechip_score_bluechip,volatility,cagr,rank
NRN,0.4671,HOLD,0.5,1552.0,52.611957311997514,1554.855,1474.406,1888.9886,1532.7607173099439,-2.7890758483613354,6.20879179779974,1670.9940360051396,1438.7159639948604,0.5012682130154217,False,False,False,False,False,False,False,0.5,0.5,0.25063410650771084,0.0,0.40012682130154215,0.4670943902357393,0.4545427084425265,0.06030250605969667,10
UNHPL,0.4774,HOLD,0.5,496.0,52.67979585508653,497.485,484.17199999999997,435.25245,491.4081987754289,2.2015065556947775,2.6889948380247723,523.9355317825325,471.0344682174676,0.3359905117627414,False,False,False,False,False,False,False,0.5,0.5,0.1679952558813707,0.0,0.38359905117627413,0.47742332536352267,0.4363813582522586,0.5442425116174461,9
AKJCL,0.4893,HOLD,0.5,371.9,67.05590332760681,354.085,266.202,218.57775,341.42556518469326,26.91721976944615,32.055904508921785,394.3902184162177,313.77978158378227,0.757725613352263,False,False,False,False,False,False,False,0.5,0.5,0.3788628066761315,0.0,0.4257725613352263,0.4892728907743073,0.38077885061696376,0.8847139432618829,8
NRIC,0.5307,HOLD,0.5,1250.0,48.06981181626831,1251.77,1267.104,1342.4744999999998,1249.758299415971,-14.967981890081091,-13.946146711906096,1304.080011117915,1199.4599888820849,0.3873047242992959,False,False,False,False,False,False,False,0.5,0.0,0.19365236214964796,0.0,0.23873047242992962,0.5306728322436315,0.3719592583610055,-0.04750061415807039,5
RADHI,0.5452,HOLD,0.5,873.5,63.91784268008457,852.6700000000001,801.052,758.61045,845.1654760424216,14.05963704557439,15.912616820109761,879.4744850921064,825.8655149078937,0.7957434525052387,False,False,False,False,False,False,False,0.5,0.5,0.39787172625261935,0.0,0.42957434525052385,0.545220891866472,0.41550000691271644,1.4361592261937828,2
